Categoria;Girone;Logo;Squadra;Punti;PG;VT;PA;SC;GF;GS;DR
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/912398.png?v=2;Calcio Zola Predosa;58;20;19;1;0;166;2;164
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1201248.png?v=3;Sasso Marconi 1924;46;20;15;1;4;105;14;91
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1061264.png?v=1;Persiceto 85;46;20;15;1;4;116;22;94
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1201244.png?v=1;Progresso;45;20;14;3;3;124;14;110
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1284505.png?v=1;Atletico Borgo;38;20;12;2;6;95;35;60
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1284508.png?v=1;Faro Gaggio Montano;30;20;9;3;8;63;53;10
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1099521.png?v=1;Idea Calcio Petroniano;25;20;8;1;11;50;67;-17
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1284506.png?v=1;Calcio Barca Casteldebole;11;20;3;2;15;19;121;-102
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1240128.png?v=1;Valsetta Lagaro;11;20;3;2;15;17;121;-104
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1284507.png?v=1;Csp Pontecchio;11;20;3;2;15;21;123;-102
Under 14;Girone A - BO;https://b2-content.tuttocampo.it/Teams/40/1284509.png?v=1;Ponte Ronca (-3);-3;20;0;0;20;11;215;-204
Under 14;Girone B - BO;https://b2-content.tuttocampo.it/Teams/40/1099512.png?v=3;Real Sala Bolognese;50;18;16;2;0;96;14;82
Under 14;Girone B - BO;https://b2-content.tuttocampo.it/Teams/40/1038631.png?v=2;Corticella;46;18;15;1;2;107;7;100
